Name,Synonym,Formula,CAS,MW,form,Melting point,Boiling point,density,Solubility in 100 mL of water,Unnamed: 10,Target,mass_frac
Sodium phosphonate pentahydrate,Sodium hydrogen phosphite pentahydrate,Na2HPO3+5H2O,13517-23-2,216.036,wh hex plates,dec 200,,,42920.0,,P,0.143373256584
Sodium pyrophosphate,Tetrasodium pyrophosphate,Na4P2O7,7722-88-5,265.902,col cry,988,,2.53,7.0925,,Na,0.34583770862
Sodium pyrophosphate,Tetrasodium pyrophosphate,Na4P2O7,7722-88-5,265.902,col cry,988,,2.53,7.0925,,O,0.421191382734
Sodium pyrophosphate,Tetrasodium pyrophosphate,Na4P2O7,7722-88-5,265.902,col cry,988,,2.53,7.0925,,P,0.232970908646
Sodium selenate,,Na2SeO4,13410-01-0,188.94,col orth cry,,,,58.525,,Na,0.243358923028
Sodium selenate,,Na2SeO4,13410-01-0,188.94,col orth cry,,,,58.525,,O,0.338724299986
Sodium selenate,,Na2SeO4,13410-01-0,188.94,col orth cry,,,,58.525,,Se,0.417916776986
Sodium selenate decahydrate,,Na2SeO4+10H2O,10102-23-5,369.09,wh cry,,,1.61,58.525,,H,0.0546175820415
Sodium selenate decahydrate,,Na2SeO4+10H2O,10102-23-5,369.09,wh cry,,,1.61,58.525,,Na,0.124575432046
Sodium selenate decahydrate,,Na2SeO4+10H2O,10102-23-5,369.09,wh cry,,,1.61,58.525,,O,0.606875388893
Sodium selenate decahydrate,,Na2SeO4+10H2O,10102-23-5,369.09,wh cry,,,1.61,58.525,,Se,0.21393159702
Sodium selenide,,Na2Se,1313-85-5,124.94,amorp solid,>875,,2.62,,,Na,0.368014313883
Sodium selenide,,Na2Se,1313-85-5,124.94,amorp solid,>875,,2.62,,,Se,0.631985686117
Sodium selenite,,Na2SeO3,10102-18-8,172.94,wh tetr cry,,,,89.825,,Na,0.265873365425
Sodium selenite,,Na2SeO3,10102-18-8,172.94,wh tetr cry,,,,89.825,,O,0.277546129605
Sodium selenite,,Na2SeO3,10102-18-8,172.94,wh tetr cry,,,,89.825,,Se,0.456580504969
Sodium selenite pentahydrate,,Na2SeO3+5H2O,26970-82-1,184.054,wh tetr cry,dec,,,,,H,0.0383226546496
Sodium selenite pentahydrate,,Na2SeO3+5H2O,26970-82-1,184.054,wh tetr cry,dec,,,,,Na,0.174817744824
Sodium selenite pentahydrate,,Na2SeO3+5H2O,26970-82-1,184.054,wh tetr cry,dec,,,,,O,0.486647602676
Sodium selenite pentahydrate,,Na2SeO3+5H2O,26970-82-1,184.054,wh tetr cry,dec,,,,,Se,0.30021199785
Sodium stannate trihydrate,Sodium tin hydroxide,Na2SnO3+3H2O,12209-98-2,266.734,col hex cry,dec 140,,,6115.0,,H,0.0226729609097
Sodium stannate trihydrate,Sodium tin hydroxide,Na2SnO3+3H2O,12209-98-2,266.734,col hex cry,dec 140,,,6115.0,,Na,0.172380016075
Sodium stannate trihydrate,Sodium tin hydroxide,Na2SnO3+3H2O,12209-98-2,266.734,col hex cry,dec 140,,,6115.0,,O,0.359896194991
Sodium stannate trihydrate,Sodium tin hydroxide,Na2SnO3+3H2O,12209-98-2,266.734,col hex cry,dec 140,,,6115.0,,Sn,0.445050828024
Sodium stearate,,NaC18H35O2,822-16-2,306.46,wh powder,,,,,,C,0.70545342485
Sodium stearate,,NaC18H35O2,822-16-2,306.46,wh powder,,,,,,H,0.115114557004
Sodium stearate,,NaC18H35O2,822-16-2,306.46,wh powder,,,,,,Na,0.0750174218502
Sodium stearate,,NaC18H35O2,822-16-2,306.46,wh powder,,,,,,O,0.104414596296
Sodium succinate hexahydrate,,Na2C4H4O4+6H2O,150-90-3,270.144,cry powder,120 dec,,,20.0,,C,0.177841856632
Sodium succinate hexahydrate,,Na2C4H4O4+6H2O,150-90-3,270.144,cry powder,120 dec,,,20.0,,H,0.0596980762067
Sodium succinate hexahydrate,,Na2C4H4O4+6H2O,150-90-3,270.144,cry powder,120 dec,,,20.0,,Na,0.170204203431
Sodium succinate hexahydrate,,Na2C4H4O4+6H2O,150-90-3,270.144,cry powder,120 dec,,,20.0,,O,0.59225586373
Sodium sulfate,Thenardite,Na2SO4,7757-82-6,142.043,wh orth cry or powder,884,,2.7,28.125,,Na,0.323703508171
Sodium sulfate,Thenardite,Na2SO4,7757-82-6,142.043,wh orth cry or powder,884,,2.7,28.125,,O,0.450553621966
Sodium sulfate,Thenardite,Na2SO4,7757-82-6,142.043,wh orth cry or powder,884,,2.7,28.125,,S,0.225742869863
Sodium sulfate decahydrate,Glauber's salt,Na2SO4+10H2O,7727-73-3,322.196,col monocl cry,32 dec,,1.46,28.125,,H,0.0625670908739
